"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Andy Burns","LAD","5.7%","70.6%","37.7%","100.0%","87.5%","88.5%","49.3%","66.7%","4.3%","23.2%","27.5%","12779"
"Jordan Holloway","MIA","10.5%","45.8%","30.2%","50.0%","54.5%","53.8%","55.8%","60.0%","14.0%","34.9%","48.8%","20631"
"Jacob Wilson","- - -","12.2%","69.4%","36.5%","83.3%","84.0%","83.9%","42.4%","61.9%","5.9%","25.9%","31.8%","13254"
"Aaron Nola","PHI","12.8%","39.8%","26.5%","43.8%","96.1%","83.6%","50.6%","68.3%","4.3%","30.8%","35.2%","16149"
"Walker Buehler","LAD","14.0%","50.3%","33.0%","39.1%","71.4%","64.9%","52.5%","76.8%","11.6%","29.0%","40.6%","19374"
"JT Brubaker","PIT","14.6%","48.0%","30.6%","41.7%","83.3%","72.9%","47.8%","65.1%","8.3%","32.5%","40.8%","17578"
"Zach Davies","CHC","15.0%","48.4%","35.3%","77.8%","95.6%","92.6%","60.8%","63.6%","2.6%","32.0%","34.6%","13183"
"Juan Soto","WSN","15.1%","62.8%","35.0%","62.6%","88.7%","82.1%","41.6%","53.7%","6.3%","20.0%","26.3%","20123"
"Brett Anderson","MIL","15.2%","49.3%","32.3%","40.0%","78.8%","69.8%","50.4%","67.6%","9.8%","28.6%","38.3%","8223"
"Roman Quinn","PHI","15.8%","67.0%","37.6%","47.8%","75.3%","68.8%","42.7%","56.5%","11.8%","20.4%","32.2%","13546"
"Delino DeShields","CIN","16.3%","70.6%","40.6%","72.7%","80.5%","78.8%","44.7%","50.0%","8.6%","18.4%","27.0%","11379"
"Alex Avila","WSN","16.5%","62.2%","36.8%","32.6%","72.3%","62.4%","44.5%","55.9%","13.8%","20.9%","34.7%","7476"
"Geraldo Perdomo","ARI","16.9%","67.2%","39.5%","50.0%","82.1%","74.5%","45.0%","45.9%","10.1%","20.2%","30.2%","22799"
"Alec Mills","CHC","17.1%","38.0%","28.2%","50.0%","66.7%","61.9%","53.0%","58.3%","10.7%","28.9%","39.6%","13834"
"Chad Kuhl","PIT","17.5%","58.7%","39.5%","14.3%","66.7%","55.9%","53.5%","62.5%","17.4%","26.7%","44.2%","14975"
"Jon Lester","- - -","17.9%","58.8%","40.7%","35.3%","78.6%","70.1%","55.6%","64.7%","12.1%","24.3%","36.4%","4930"
"Bryse Wilson","- - -","17.9%","33.3%","26.4%","57.1%","87.5%","78.3%","55.2%","72.0%","5.7%","31.0%","36.8%","19990"
"Hoy Park","- - -","18.1%","63.8%","39.0%","64.1%","80.0%","76.0%","45.8%","57.3%","9.4%","20.7%","30.1%","18027"
"Jake Arrieta","- - -","18.6%","40.4%","27.9%","30.8%","57.1%","47.1%","42.6%","63.3%","14.8%","36.1%","50.8%","4153"
"Yasmani Grandal","CHW","18.7%","51.1%","31.9%","63.2%","84.7%","77.3%","40.7%","48.5%","7.3%","22.5%","29.7%","11368"
"John Nogowski","- - -","18.9%","68.9%","42.4%","71.9%","92.9%","88.0%","46.9%","58.0%","5.1%","19.2%","24.3%","16852"
"Clint Frazier","NYY","18.9%","65.8%","37.8%","53.3%","80.6%","72.4%","40.4%","57.8%","10.4%","19.0%","29.4%","15983"
"Kevin Padlo","- - -","18.9%","75.9%","43.9%","57.1%","45.5%","48.3%","43.9%","66.7%","22.7%","16.7%","39.4%","16593"
"Jesus Luzardo","- - -","19.0%","30.6%","24.4%","87.5%","72.7%","78.9%","46.2%","60.0%","5.1%","30.8%","35.9%","19959"
"Max Muncy","LAD","19.1%","62.2%","37.6%","58.5%","86.0%","78.0%","42.9%","53.7%","8.3%","20.0%","28.3%","13301"
"Alex Blandino","CIN","19.1%","56.9%","35.3%","46.2%","82.8%","71.4%","42.9%","58.5%","10.1%","24.6%","34.7%","16271"
"Robbie Grossman","DET","19.2%","64.0%","38.3%","64.6%","87.1%","80.6%","42.6%","54.1%","7.4%","19.7%","27.1%","5254"
"Trevor Williams","- - -","19.3%","48.1%","33.0%","63.6%","92.0%","83.3%","47.7%","57.1%","5.5%","33.9%","39.4%","16977"
"Tommy Pham","SDP","19.3%","62.6%","38.2%","58.7%","86.2%","78.4%","43.6%","55.1%","8.3%","20.2%","28.5%","2967"
"Matt Carpenter","STL","19.8%","64.2%","38.7%","61.4%","79.2%","74.0%","42.7%","51.4%","10.1%","19.3%","29.4%","8090"
"Breyvic Valera","TOR","19.9%","55.7%","36.0%","88.9%","95.1%","93.2%","45.0%","55.7%","2.4%","26.0%","28.5%","12758"
"Brandon Nimmo","NYM","20.0%","67.8%","42.1%","62.7%","86.8%","80.7%","46.3%","61.1%","8.1%","18.4%","26.5%","12927"
"Brett Gardner","NYY","20.1%","57.2%","37.4%","70.4%","88.9%","83.5%","46.5%","52.7%","6.2%","22.7%","28.9%","9927"
"Alex Wood","SFG","20.2%","38.6%","28.3%","33.3%","78.1%","60.4%","44.4%","76.6%","11.2%","34.2%","45.5%","13781"
"Jonathan Davis","- - -","20.5%","60.9%","36.5%","54.7%","87.4%","76.3%","39.6%","64.1%","8.7%","23.0%","31.6%","15104"
"David Peterson","NYM","20.6%","56.8%","41.0%","57.1%","76.0%","71.9%","56.4%","70.0%","11.5%","26.9%","38.5%","20302"
"Daniel Vogelbach","MIL","20.7%","49.5%","32.9%","69.5%","89.8%","82.4%","42.2%","53.5%","5.8%","25.0%","30.7%","14130"
"Trent Grisham","SDP","20.7%","65.5%","40.2%","63.4%","87.7%","80.6%","43.5%","55.6%","7.8%","19.2%","27.0%","18564"
"T.J. Friedl","CIN","20.8%","64.4%","39.7%","62.5%","94.7%","85.2%","43.4%","41.7%","5.9%","16.9%","22.8%","19522"
"Mike Ford","NYY","20.9%","56.4%","34.2%","57.9%","82.3%","73.0%","37.7%","52.8%","9.2%","20.2%","29.5%","15585"
"Roberto Perez","CLE","20.9%","64.6%","41.2%","37.2%","77.9%","66.8%","46.3%","59.0%","13.7%","19.3%","32.9%","2900"
"Alex Bregman","HOU","21.0%","66.6%","41.5%","72.8%","93.5%","87.7%","44.9%","57.3%","5.1%","19.3%","24.4%","17678"
"Josh VanMeter","ARI","21.1%","62.3%","39.7%","52.3%","83.2%","74.2%","45.2%","54.8%","10.3%","20.7%","31.0%","15170"
"Travis Jankowski","PHI","21.2%","59.8%","39.5%","76.9%","88.5%","85.2%","47.3%","61.8%","5.8%","21.1%","26.9%","13768"
"Trayce Thompson","CHC","21.2%","63.9%","37.5%","61.9%","79.5%","73.3%","38.1%","45.7%","10.0%","17.5%","27.5%","9952"
"Brett Phillips","TBR","21.2%","65.5%","41.8%","50.7%","72.3%","66.5%","46.5%","54.5%","14.0%","18.2%","32.3%","14735"
"Lars Nootbaar","STL","21.3%","61.7%","39.2%","66.1%","81.4%","76.8%","44.3%","56.5%","9.1%","21.0%","30.1%","21454"
"Jake Fraley","SEA","21.4%","65.7%","39.8%","57.9%","81.3%","74.0%","41.5%","54.7%","10.4%","17.1%","27.4%","19260"
"Austin Nola","SDP","21.6%","72.4%","45.0%","75.3%","93.9%","89.1%","46.0%","60.8%","4.9%","17.7%","22.6%","15941"
"Tim Lopes","MIL","21.7%","69.6%","45.7%","40.0%","87.5%","76.2%","50.0%","54.5%","10.9%","17.4%","28.3%","14137"
"Zac Gallen","ARI","21.9%","47.3%","35.5%","35.7%","80.0%","67.3%","53.6%","81.0%","11.6%","32.6%","44.2%","19291"
"Yonny Hernandez","TEX","21.9%","57.6%","37.7%","74.7%","92.0%","86.4%","44.3%","61.4%","5.1%","24.5%","29.7%","19432"
"Myles Straw","- - -","21.9%","62.7%","40.2%","79.1%","92.6%","88.6%","44.9%","58.3%","4.6%","21.6%","26.2%","17620"
"Rob Refsnyder","MIN","22.1%","65.5%","39.9%","57.5%","84.4%","75.7%","41.1%","63.1%","9.7%","20.3%","30.0%","13770"
"Mike Trout","LAA","22.1%","63.4%","39.5%","61.5%","79.1%","73.4%","42.1%","56.2%","10.5%","17.4%","27.9%","10155"
"Joey Gallo","- - -","22.1%","67.5%","40.2%","43.8%","72.7%","63.1%","39.9%","54.1%","14.8%","15.8%","30.6%","14128"
"Mike Tauchman","- - -","22.1%","73.0%","44.5%","49.1%","75.6%","68.2%","43.9%","53.9%","14.1%","15.3%","29.4%","15274"
"Cavan Biggio","TOR","22.2%","64.9%","41.3%","50.7%","87.5%","76.6%","44.8%","57.8%","9.7%","20.2%","29.9%","19252"
