"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"512",593160,"Merrifield, Whit","2608","19.6","0.272","0.096","0.300","0.368","0.282","0.301","0.271","37","136","86.6","17.6","2244","88.0","88.08","49","266","246","0.1","6.28","105","150","107","146","303","320","291"
"475",543760,"Semien, Marcus","2923","16.3","0.264","0.245","0.271","0.509","0.353","0.333","0.246","29","110","90.7","22.9","2211","88.1","88.09","42","221","254","0.0","6.26","106","154","119","146","300","325","291"
"473",592192,"Canha, Mark","2642","17.9","0.247","0.165","0.310","0.412","0.371","0.382","0.245","21","85","90.0","16.8","2272","87.7","86.76","39","183","290","-0.9","6.35","108","153","120","147","301","325","294"
"458",518692,"Freeman, Freddie","2688","17.0","0.340","0.208","0.366","0.547","0.408","0.405","0.323","36","106","91.1","10.4","2166","88.5","88.54","42","228","230","0.0","6.39","117","163","137","150","301","326","306"
"456",660271,"Ohtani, Shohei","2594","17.6","0.257","0.337","0.288","0.594","0.382","0.390","0.275","26","101","93.1","15.3","2118","87.8","87.42","71","225","231","-0.4","6.30","117","158","130","152","300","328","309"
"455",571745,"Haniger, Mitch","2775","16.4","0.272","0.307","0.272","0.579","0.366","0.374","0.277","31","114","89.1","12.7","2167","87.1","86.94","68","228","227","-0.2","6.30","108","153","122","146","300","322","292"
"451",656775,"Mullins, Cedric","2588","17.4","0.277","0.168","0.322","0.445","0.313","0.297","0.261","33","119","87.9","17.4","2205","87.8","87.71","49","228","223","-0.1","6.42","107","148","102","149","289","321","296"
"448",514888,"Altuve, Jose","2489","18.0","0.294","0.210","0.284","0.504","0.362","0.305","0.238","35","119","87.2","16.2","2158","87.7","87.61","26","228","220","-0.1","6.38","106","152","110","145","297","324","291"
"445",543257,"Grossman, Robbie","2817","15.8","0.268","0.196","0.315","0.464","0.353","0.327","0.248","26","97","85.0","19.5","2156","87.1","87.12","36","177","268","0.0","6.28","111","156","117","148","296","323","296"
"443",518934,"LeMahieu, DJ","2660","16.7","0.281","0.115","0.282","0.396","0.342","0.343","0.283","27","96","88.7","2.3","2165","88.3","88.53","20","173","270","0.2","6.43","109","151","121","150","310","326","287"
